 Word,Inappropriate,Part of Speech,Pictionary Category,Source (URL etc.),Sense
3-dimensional,,adjective,-,From the Pictionary Game,
afraid,,adjective,emotion/feeling,https://partyjoys.com/creative-lists-of-pictionary-words,
angry,,adjective,emotion/feeling,https://in.pinterest.com/pin/28429041376533861/,
bad,,adjective,quality,From the Pictionary Game,
cheap,,adjective,quality,From the Pictionary Game,
comedy,,adjective,action,From the Pictionary Game,
conservative,,adjective,quality,From the Pictionary Game,
crazy,,adjective,feeling,https://in.pinterest.com/pin/28429041376533861/,
creepy,,adjective,quality,https://partyjoys.com/creative-lists-of-pictionary-words,
crisp,,adjective,quality,https://www.thegamegal.com/printables/,
deep,,adjective,quality,https://www.thegamegal.com/printables/,
depressed,,adjective,feeling/emotion,https://in.pinterest.com/pin/28429041376533861/,
drowsy,,adjective,sensation,From the Pictionary Game,
drunk,,adjective,-,From the Pictionary Game,
exhausted,,adjective,sensation/feeling,https://in.pinterest.com/pin/28429041376533861/,
far,,adjective,-,From the Pictionary Game,
formal,,adjective,-,From the Pictionary Game,
fragile,,adjective,quality,From the Pictionary Game,
frightened,,adjective,feeling/sensation,https://in.pinterest.com/pin/28429041376533861/,
furious,,adjective,feeling/sensation,https://in.pinterest.com/pin/28429041376533861/,
half,,adjective,quantity,https://www.thegamegal.com/printables/,
half-time,,adjective,quantity,From the Pictionary Game,
handicap,,adjective,quality,From the Pictionary Game,
happy,,adjective,feeling,https://in.pinterest.com/pin/28429041376533861/,
hard,,adjective,quality,From the Pictionary Game,
heavyweight,,adjective,quality,From the Pictionary Game,
hollow,,adjective,quality,From the Pictionary Game,
homesick,,adjective,feeling,From the Pictionary Game,
important,,adjective,quality,https://www.thegamegal.com/printables/,
insane,,adjective,,From the Pictionary Game,
ironic,,adjective,quality,https://www.thegamegal.com/printables/,
jealous,,adjective,feeling,https://in.pinterest.com/pin/28429041376533861/,
lazy,,adjective,quality,From the Pictionary Game,
lonely,,adjective,quality,https://in.pinterest.com/pin/28429041376533861/,
loud,,adjective,quality,From the Pictionary Game,
low,,adjective,quality/quantity,From the Pictionary Game,
mad,,adjective,quality,From the Pictionary Game,
many,,adjective,quantity,From the Pictionary Game,
nervous,,adjective,feeling,https://in.pinterest.com/pin/28429041376533861/,
nuclear,,adjective,,From the Pictionary Game,
odd,,adjective,,From the Pictionary Game,
old,,adjective,quality,From the Pictionary Game,
opaque,,adjective,quality,https://www.thegamegal.com/printables/,
plastic,,adjective,,From the Pictionary Game,
positive,,adjective,quality,https://www.thegamegal.com/printables/,
quiet,,adjective,quality,From the Pictionary Game,
rainy,,adjective,,https://in.pinterest.com/pin/28429041376294896/,
random,,adjective,,https://www.thegamegal.com/printables/,
rapid,,adjective,,From the Pictionary Game,
relaxed,,adjective,quality,https://in.pinterest.com/pin/28429041376533861/,
right,,adjective,,From the Pictionary Game,correct
ripe,,adjective,quality,From the Pictionary Game,
sad,,adjective,quality,https://in.pinterest.com/pin/28429041376533861/,
scary,,adjective,quality,https://partyjoys.com/creative-lists-of-pictionary-words,
shallow,,adjective,quality,https://www.thegamegal.com/printables/,
sharp,,adjective,quality,From the Pictionary Game,
short,,adjective,quality,From the Pictionary Game,
shy,,adjective,quality,https://in.pinterest.com/pin/28429041376533861/,
sideways,,adjective,,From the Pictionary Game,
skinny,,adjective,quality,From the Pictionary Game,
slender,,adjective,action,From the Pictionary Game,
slippery,,adjective,quality,From the Pictionary Game,
smooth,,adjective,quality,From the Pictionary Game,
solo,,adjective,quality,From the Pictionary Game,
